"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","Get all posts","","Tue Apr 29 04:00:52 GMT 2025","passed","Tue Apr 29 04:00:52 GMT 2025","","JSONPlaceholder API Tests","",""
"","38","Update an existing post","","Tue Apr 29 04:00:52 GMT 2025","passed","Tue Apr 29 04:00:52 GMT 2025","","JSONPlaceholder API Tests","",""
"","24","Create a new post","","Tue Apr 29 04:00:52 GMT 2025","passed","Tue Apr 29 04:00:52 GMT 2025","","JSONPlaceholder API Tests","",""
"","152","Add new character","","Tue Apr 29 04:01:22 GMT 2025","passed","Tue Apr 29 04:01:22 GMT 2025","","Rick and morty","",""
"","2173","Scoll to the top of the page","","Tue Apr 29 04:01:20 GMT 2025","passed","Tue Apr 29 04:01:22 GMT 2025","","Rick and morty","",""
"","5796","Return to the Home page","","Tue Apr 29 04:01:14 GMT 2025","passed","Tue Apr 29 04:01:20 GMT 2025","","Rick and morty","",""
"","20","Delete a post","","Tue Apr 29 04:00:52 GMT 2025","passed","Tue Apr 29 04:00:52 GMT 2025","","JSONPlaceholder API Tests","",""
"","6121","Check character details","","Tue Apr 29 04:01:08 GMT 2025","passed","Tue Apr 29 04:01:14 GMT 2025","","Rick and morty","",""
