"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Delete a post","","Tue Apr 29 04:18:39 GMT 2025","passed","Tue Apr 29 04:18:39 GMT 2025","","JSON Placeholder API Tests","",""
"","34","Update an existing post","","Tue Apr 29 04:18:39 GMT 2025","passed","Tue Apr 29 04:18:39 GMT 2025","","JSON Placeholder API Tests","",""
"","2159","Scoll to the top of the page","","Tue Apr 29 04:19:06 GMT 2025","passed","Tue Apr 29 04:19:09 GMT 2025","","Rick and morty","",""
"","5801","Return to the Home page","","Tue Apr 29 04:19:01 GMT 2025","passed","Tue Apr 29 04:19:06 GMT 2025","","Rick and morty","",""
"","142","Get all posts","","Tue Apr 29 04:18:39 GMT 2025","passed","Tue Apr 29 04:18:39 GMT 2025","","JSON Placeholder API Tests","",""
"","38","Create a new post","","Tue Apr 29 04:18:39 GMT 2025","passed","Tue Apr 29 04:18:39 GMT 2025","","JSON Placeholder API Tests","",""
"","6107","Check character details","","Tue Apr 29 04:18:55 GMT 2025","passed","Tue Apr 29 04:19:01 GMT 2025","","Rick and morty","",""
"","147","Add new character","","Tue Apr 29 04:19:09 GMT 2025","passed","Tue Apr 29 04:19:09 GMT 2025","","Rick and morty","",""
