"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","158","Add new character","","Tue Apr 29 03:41:23 GMT 2025","passed","Tue Apr 29 03:41:23 GMT 2025","","Rick and morty","",""
"","34","Create a new post","","Tue Apr 29 03:40:41 GMT 2025","passed","Tue Apr 29 03:40:41 GMT 2025","","JSONPlaceholder API Tests","",""
"","38","Update an existing post","","Tue Apr 29 03:40:41 GMT 2025","passed","Tue Apr 29 03:40:41 GMT 2025","","JSONPlaceholder API Tests","",""
"","2167","Scoll to the top of the page","","Tue Apr 29 03:41:20 GMT 2025","passed","Tue Apr 29 03:41:23 GMT 2025","","Rick and morty","",""
"","11655","Check character details","","Tue Apr 29 03:41:03 GMT 2025","broken","Tue Apr 29 03:41:15 GMT 2025","","Rick and morty","",""
"","20","Delete a post","","Tue Apr 29 03:40:41 GMT 2025","passed","Tue Apr 29 03:40:41 GMT 2025","","JSONPlaceholder API Tests","",""
"","115","Get all posts","","Tue Apr 29 03:40:41 GMT 2025","passed","Tue Apr 29 03:40:41 GMT 2025","","JSONPlaceholder API Tests","",""
"","5868","Return to the Home page","","Tue Apr 29 03:41:15 GMT 2025","passed","Tue Apr 29 03:41:20 GMT 2025","","Rick and morty","",""
