"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5833","Return to the Home page","","Tue Apr 29 04:14:08 GMT 2025","passed","Tue Apr 29 04:14:14 GMT 2025","","Rick and morty","",""
"","342","Check character details","","Tue Apr 29 04:14:08 GMT 2025","passed","Tue Apr 29 04:14:08 GMT 2025","","Rick and morty","",""
"","24","Delete a post","","Tue Apr 29 04:13:57 GMT 2025","passed","Tue Apr 29 04:13:57 GMT 2025","","JSON Placeholder API Tests","",""
"","32","Create a new post","","Tue Apr 29 04:13:57 GMT 2025","passed","Tue Apr 29 04:13:57 GMT 2025","","JSON Placeholder API Tests","",""
"","134","Get all posts","","Tue Apr 29 04:13:57 GMT 2025","passed","Tue Apr 29 04:13:57 GMT 2025","","JSON Placeholder API Tests","",""
"","150","Add new character","","Tue Apr 29 04:14:16 GMT 2025","passed","Tue Apr 29 04:14:17 GMT 2025","","Rick and morty","",""
"","2159","Scoll to the top of the page","","Tue Apr 29 04:14:14 GMT 2025","passed","Tue Apr 29 04:14:16 GMT 2025","","Rick and morty","",""
"","30","Update an existing post","","Tue Apr 29 04:13:57 GMT 2025","passed","Tue Apr 29 04:13:57 GMT 2025","","JSON Placeholder API Tests","",""
