"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","845","Check character details","","Tue Apr 29 04:15:56 GMT 2025","passed","Tue Apr 29 04:15:57 GMT 2025","","Rick and morty","",""
"","2156","Scoll to the top of the page","","Tue Apr 29 04:16:02 GMT 2025","passed","Tue Apr 29 04:16:05 GMT 2025","","Rick and morty","",""
"","252","Update an existing post","","Tue Apr 29 04:15:47 GMT 2025","passed","Tue Apr 29 04:15:47 GMT 2025","","JSON Placeholder API Tests","",""
"","149","Add new character","","Tue Apr 29 04:16:05 GMT 2025","passed","Tue Apr 29 04:16:05 GMT 2025","","Rick and morty","",""
"","243","Delete a post","","Tue Apr 29 04:15:47 GMT 2025","passed","Tue Apr 29 04:15:47 GMT 2025","","JSON Placeholder API Tests","",""
"","150","Get all posts","","Tue Apr 29 04:15:46 GMT 2025","passed","Tue Apr 29 04:15:47 GMT 2025","","JSON Placeholder API Tests","",""
"","5556","Return to the Home page","","Tue Apr 29 04:15:57 GMT 2025","passed","Tue Apr 29 04:16:02 GMT 2025","","Rick and morty","",""
"","223","Create a new post","","Tue Apr 29 04:15:47 GMT 2025","passed","Tue Apr 29 04:15:47 GMT 2025","","JSON Placeholder API Tests","",""
